"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","768","Изменить имя пользователя","chromium","Thu May 01 17:37:36 GMT 2025","passed","Thu May 01 17:37:36 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","2208","Зарегистрировать нового пользователя","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:26 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","113","Получить задачу по id GET /todos/{id} (200)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","160","Получить токен авторизации GET /challenger (200)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","73","Получить список задач GET /todos (200)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","70","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","5023","Создание новой статьи","chromium","Thu May 01 17:37:49 GMT 2025","broken","Thu May 01 17:37:54 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","118","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","5022","Публикация коментария к статье","chromium","Thu May 01 17:38:07 GMT 2025","broken","Thu May 01 17:38:12 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","974","Сменить пароль пользователя","chromium","Thu May 01 17:37:35 GMT 2025","passed","Thu May 01 17:37:36 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","94","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","99","Создать новую задачу POST /todos (201)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","89","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Thu May 01 17:37:23 GMT 2025","passed","Thu May 01 17:37:23 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
