"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1420","Сменить пароль пользователя","chromium","Wed Apr 30 11:33:21 GMT 2025","passed","Wed Apr 30 11:33:23 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1960","Создание новой статьи","chromium","Wed Apr 30 11:33:24 GMT 2025","passed","Wed Apr 30 11:33:26 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","229","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Wed Apr 30 11:33:19 GMT 2025","passed","Wed Apr 30 11:33:19 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","228","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Wed Apr 30 11:33:20 GMT 2025","passed","Wed Apr 30 11:33:20 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1200","Изменить имя пользователя","chromium","Wed Apr 30 11:33:23 GMT 2025","passed","Wed Apr 30 11:33:24 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","234","Получить список задач GET /todos (200)","chromium","Wed Apr 30 11:33:18 GMT 2025","passed","Wed Apr 30 11:33:19 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1318","Зарегистрировать нового пользователя","chromium","Wed Apr 30 11:33:20 GMT 2025","passed","Wed Apr 30 11:33:21 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","216","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Wed Apr 30 11:33:19 GMT 2025","passed","Wed Apr 30 11:33:19 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1923","Публикация коментария к статье","chromium","Wed Apr 30 11:33:26 GMT 2025","passed","Wed Apr 30 11:33:28 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","360","Получить токен авторизации GET /challenger (200)","chromium","Wed Apr 30 11:33:18 GMT 2025","passed","Wed Apr 30 11:33:18 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","240","Создать новую задачу POST /todos (201)","chromium","Wed Apr 30 11:33:18 GMT 2025","passed","Wed Apr 30 11:33:18 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","232","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Wed Apr 30 11:33:19 GMT 2025","passed","Wed Apr 30 11:33:19 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","231","Получить задачу по id GET /todos/{id} (200)","chromium","Wed Apr 30 11:33:19 GMT 2025","passed","Wed Apr 30 11:33:19 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
