"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","232","Создать новую задачу POST /todos (201)","chromium","Fri May 02 10:46:05 GMT 2025","passed","Fri May 02 10:46:05 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","230","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Fri May 02 10:46:06 GMT 2025","passed","Fri May 02 10:46:06 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","228","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Fri May 02 10:46:07 GMT 2025","passed","Fri May 02 10:46:07 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","345","Получить токен авторизации GET /challenger (200)","chromium","Fri May 02 10:46:05 GMT 2025","passed","Fri May 02 10:46:05 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1401","Сменить пароль пользователя","chromium","Fri May 02 10:46:09 GMT 2025","passed","Fri May 02 10:46:10 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1151","Изменить имя пользователя","chromium","Fri May 02 10:46:10 GMT 2025","passed","Fri May 02 10:46:11 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1412","Зарегистрировать нового пользователя","chromium","Fri May 02 10:46:07 GMT 2025","passed","Fri May 02 10:46:08 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","230","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Fri May 02 10:46:06 GMT 2025","passed","Fri May 02 10:46:06 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","0","Публикация коментария к статье","chromium","Fri May 02 10:46:13 GMT 2025","skipped","Fri May 02 10:46:13 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","151","Создание новой статьи","chromium","Fri May 02 10:46:13 GMT 2025","failed","Fri May 02 10:46:13 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","227","Получить задачу по id GET /todos/{id} (200)","chromium","Fri May 02 10:46:06 GMT 2025","passed","Fri May 02 10:46:06 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","229","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Fri May 02 10:46:06 GMT 2025","passed","Fri May 02 10:46:07 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","232","Получить список задач GET /todos (200)","chromium","Fri May 02 10:46:05 GMT 2025","passed","Fri May 02 10:46:06 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
