"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5021","Создание новой статьи","chromium","Fri May 02 10:52:04 GMT 2025","broken","Fri May 02 10:52:09 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","47","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","796","Зарегистрировать нового пользователя","chromium","Fri May 02 10:51:50 GMT 2025","passed","Fri May 02 10:51:50 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","751","Изменить имя пользователя","chromium","Fri May 02 10:51:52 GMT 2025","passed","Fri May 02 10:51:52 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","88","Получить токен авторизации GET /challenger (200)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","38","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","46","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","46","Создать новую задачу POST /todos (201)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","40","Получить задачу по id GET /todos/{id} (200)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","5024","Публикация коментария к статье","chromium","Fri May 02 10:52:22 GMT 2025","broken","Fri May 02 10:52:27 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","35","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:50 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","959","Сменить пароль пользователя","chromium","Fri May 02 10:51:51 GMT 2025","passed","Fri May 02 10:51:52 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","42","Получить список задач GET /todos (200)","chromium","Fri May 02 10:51:49 GMT 2025","passed","Fri May 02 10:51:49 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
