"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","Получить список задач GET /todos (200)","chromium","Fri May 02 11:21:58 GMT 2025","passed","Fri May 02 11:21:58 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","172","Получить задачу по id GET /todos/{id} (200)","chromium","Fri May 02 11:21:58 GMT 2025","passed","Fri May 02 11:21:58 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","189","Создать новую задачу POST /todos (201)","chromium","Fri May 02 11:21:58 GMT 2025","passed","Fri May 02 11:21:58 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","2038","Зарегистрировать нового пользователя","chromium","Fri May 02 11:21:59 GMT 2025","passed","Fri May 02 11:22:01 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","180","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Fri May 02 11:21:58 GMT 2025","passed","Fri May 02 11:21:58 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","183","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Fri May 02 11:21:58 GMT 2025","passed","Fri May 02 11:21:59 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","50018","Публикация коментария к статье","chromium","Fri May 02 11:25:32 GMT 2025","broken","Fri May 02 11:26:22 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","177","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Fri May 02 11:21:59 GMT 2025","passed","Fri May 02 11:21:59 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","338","Получить токен авторизации GET /challenger (200)","chromium","Fri May 02 11:21:57 GMT 2025","passed","Fri May 02 11:21:58 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","191","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Fri May 02 11:21:59 GMT 2025","passed","Fri May 02 11:21:59 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1277","Сменить пароль пользователя","chromium","Fri May 02 11:22:04 GMT 2025","passed","Fri May 02 11:22:05 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1082","Изменить имя пользователя","chromium","Fri May 02 11:22:05 GMT 2025","passed","Fri May 02 11:22:06 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1747","Создание новой статьи","chromium","Fri May 02 11:23:48 GMT 2025","passed","Fri May 02 11:23:50 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
