"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1650","Публикация коментария к статье","chromium","Fri May 02 11:48:09 GMT 2025","passed","Fri May 02 11:48:11 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","227","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Fri May 02 11:48:03 GMT 2025","passed","Fri May 02 11:48:03 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1346","Сменить пароль пользователя","chromium","Fri May 02 11:48:05 GMT 2025","passed","Fri May 02 11:48:07 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","226","Получить задачу по id GET /todos/{id} (200)","chromium","Fri May 02 11:48:02 GMT 2025","passed","Fri May 02 11:48:03 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","235","Создать новую задачу POST /todos (201)","chromium","Fri May 02 11:48:02 GMT 2025","passed","Fri May 02 11:48:02 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1627","Создание новой статьи","chromium","Fri May 02 11:48:08 GMT 2025","passed","Fri May 02 11:48:09 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","229","Получить список задач GET /todos (200)","chromium","Fri May 02 11:48:02 GMT 2025","passed","Fri May 02 11:48:02 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1132","Изменить имя пользователя","chromium","Fri May 02 11:48:07 GMT 2025","passed","Fri May 02 11:48:08 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","233","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Fri May 02 11:48:03 GMT 2025","passed","Fri May 02 11:48:03 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1333","Зарегистрировать нового пользователя","chromium","Fri May 02 11:48:03 GMT 2025","passed","Fri May 02 11:48:05 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","350","Получить токен авторизации GET /challenger (200)","chromium","Fri May 02 11:48:01 GMT 2025","passed","Fri May 02 11:48:02 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","216","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Fri May 02 11:48:03 GMT 2025","passed","Fri May 02 11:48:03 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","225","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Fri May 02 11:48:03 GMT 2025","passed","Fri May 02 11:48:03 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
